site,live.veg (perc.cover),litter (perc.cover),bare.ground (perc.cover),rocks.stones (perc.cover)
G.1.1,15,70,10,5
G.1.2,1,69,10,20
G.1.3,5,45,30,20
G.1.4,5,93,0,2
G.2.1,20,65,10,5
G.2.2,40,60,0,0
G.2.3,10,60,20,10
G.2.4,5,75,15,5
G.3.1,0,80,5,15
G.3.2,5,94,0,1
G.3.3,5,90,0,5
G.3.4,5,89,5,1
G.4.1,5,70,5,20
G.4.2,20,60,5,15
G.4.3,5,80,0,15
G.4.4,0,75,0,25
F.1.1,25,55,5,15
F.1.2,30,50,5,15
F.1.3,45,50,0,5
F.1.4,30,60,0,10
F.2.1,35,30,10,25
F.2.2,30,65,0,5
F.2.3,55,35,5,5
F.2.4,35,40,15,10
F.3.1,25,55,10,10
F.3.2,50,40,0,10
F.3.3,15,60,10,15
F.3.4,60,30,0,10
F.4.1,70,15,0,15
F.4.2,70,25,0,5
F.4.3,20,65,5,10
F.4.4,60,30,0,10
