pitfall,camponotus.sp,ocymyrmex.sp,technomyrmex.sp,agraulomyrmex.sp,monomorium.sp1,monomorium.sp2,pheidole.sp1,pheidole.sp2,pheidole.sp3,lepisiota.sp1,lepisiota.sp2,pachycondyla.sp,pyramica.sp,unknown.sp
G.1.1,2,1,1,1,1,0,3,7,0,0,0,0,0,0
G.1.2,0,0,0,2,1,0,0,9,0,0,0,0,0,0
G.1.3,0,1,0,7,2,0,0,2,0,0,0,0,0,0
G.1.4,0,0,0,15,0,0,6,9,0,0,0,0,0,0
G.2.1,0,0,0,0,0,1,0,3,0,0,0,0,0,0
G.2.2,0,0,0,1,0,0,0,7,0,0,0,0,0,0
G.2.3,0,0,0,0,0,0,0,3,0,0,0,0,0,0
G.2.4,0,1,0,6,2,1,1,26,0,0,0,0,0,0
G.3.1,0,0,0,0,2,0,14,22,0,0,0,0,0,0
G.3.2,0,0,0,2,0,0,0,8,0,0,0,0,0,0
G.3.3,0,0,0,1,0,0,4,18,0,0,0,0,0,0
G.3.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
G.4.1,1,0,0,0,0,0,0,8,0,1,0,0,0,0
G.4.2,0,0,0,0,0,0,4,17,0,0,1,0,0,0
G.4.3,0,0,0,0,0,0,0,13,0,0,0,0,0,0
G.4.4,0,0,0,0,0,0,0,30,0,0,0,0,0,0
F.1.1,0,0,0,1,0,0,4,0,0,0,0,0,0,0
F.1.2,2,0,0,0,0,0,4,12,1,0,0,0,0,0
F.1.3,2,0,0,1,0,0,0,12,0,0,0,0,0,0
F.1.4,2,0,0,0,0,0,0,0,0,2,0,0,0,0
F.2.1,0,0,0,0,0,0,0,3,0,2,0,0,0,0
F.2.2,2,1,0,0,0,0,0,4,0,0,0,0,0,0
F.2.3,1,1,0,0,0,0,13,17,0,0,0,0,0,0
F.2.4,0,0,0,0,0,0,3,3,0,0,0,1,1,0
F.3.1,1,0,0,0,0,0,1,7,0,0,0,0,0,0
F.3.2,3,0,0,0,0,0,17,35,0,0,0,0,0,0
F.3.3,3,0,0,1,0,0,29,17,0,0,0,0,0,1
F.3.4,2,0,0,5,0,0,111,79,0,0,0,0,0,0
F.4.1,0,1,0,0,0,0,72,67,0,0,0,0,0,0
F.4.2,0,0,0,0,0,0,29,23,0,0,0,0,0,0
F.4.3,0,0,0,0,0,0,0,6,0,0,0,0,0,0
F.4.4,0,0,0,0,0,0,4,8,0,0,0,0,0,0
